Hour,Mean_Current,Filtered_Mean_Current
0,3.43859649122807,3.43859649122807
1,3.43859649122807,3.43859649122807
2,3.43859649122807,3.43859649122807
3,3.43859649122807,3.43859649122807
4,3.43859649122807,3.43859649122807
5,3.2280701754386,3.33333333333333
6,3.01754385964912,3.12280701754386
7,3.01754385964912,3.01754385964912
8,0,1.50877192982456
9,1.05263157894737,0.526315789473684
10,0,0.526315789473684
11,1.05263157894737,0.526315789473684
12,0,0.526315789473684
13,0.842105263157895,0.421052631578947
14,0.421052631578947,0.631578947368421
15,0.842105263157895,0.631578947368421
16,0.421052631578947,0.631578947368421
17,3.33333333333333,1.87719298245614
18,5.08771929824561,4.21052631578947
19,5.85964912280702,5.47368421052632
20,6.28070175438596,6.07017543859649
21,5.2280701754386,5.75438596491228
22,5.01754385964912,5.12280701754386
23,3.96491228070175,4.49122807017544
