Hour,Mean_Current_Summer,CI_Lower_Summer,CI_Upper_Summer,Filtered_Mean_Current_Summer
0,3.19298245614035,1.91854078781601,4.46742412446469,3.19298245614035
1,3.19298245614035,1.91854078781601,4.46742412446469,3.19298245614035
2,3.19298245614035,1.91854078781601,4.46742412446469,3.19298245614035
3,3.19298245614035,1.91854078781601,4.46742412446469,3.19298245614035
4,3.19298245614035,1.91854078781601,4.46742412446469,3.19298245614035
5,2.98245614035088,1.66469024572084,4.30022203498092,3.08771929824561
6,0.210526315789474,-0.231773061103376,0.652825692682323,1.59649122807018
7,1.05263157894737,-0.165365931681659,2.2706290895764,0.631578947368421
8,0,0,0,0.526315789473684
9,1.05263157894737,-0.165365931681659,2.2706290895764,0.526315789473684
10,0,0,0,0.526315789473684
11,1.05263157894737,-0.165365931681659,2.2706290895764,0.526315789473684
12,0,0,0,0.526315789473684
13,1.26315789473684,0.00997632687376804,2.51633946259992,0.631578947368421
14,0,0,0,0.631578947368421
15,1.26315789473684,0.00997632687376804,2.51633946259992,0.631578947368421
16,0,0,0,0.631578947368421
17,0.421052631578947,-0.463546122206752,1.30565138536465,0.210526315789474
18,1.26315789473684,-0.284889924388132,2.81120571386182,0.842105263157895
19,2.10526315789474,0.302595491149126,3.90793082464035,1.68421052631579
20,5.82456140350877,4.32183601613769,7.32728679087986,3.96491228070175
21,4.98245614035088,3.45878235891392,6.50612992178784,5.40350877192982
22,4.98245614035088,3.45878235891392,6.50612992178784,4.98245614035088
23,3.92982456140351,2.5012524335372,5.35839668926981,4.45614035087719
