Hour,Mean_Current_Winter,CI_Lower_Winter,CI_Upper_Winter,Filtered_Mean_Current_Winter
0,3.43859649122807,1.81683210928762,5.06036087316852,3.43859649122807
1,3.43859649122807,1.81683210928762,5.06036087316852,3.43859649122807
2,3.43859649122807,1.81683210928762,5.06036087316852,3.43859649122807
3,3.43859649122807,1.81683210928762,5.06036087316852,3.43859649122807
4,3.43859649122807,1.81683210928762,5.06036087316852,3.43859649122807
5,3.2280701754386,1.56440422983083,4.89173612104637,3.33333333333333
6,3.01754385964912,1.31939412535418,4.71569359394407,3.12280701754386
7,3.01754385964912,1.20186037285444,4.83322734644381,3.01754385964912
8,0,0,0,1.50877192982456
9,1.05263157894737,-0.165365931681659,2.2706290895764,0.526315789473684
10,0,0,0,0.526315789473684
11,1.05263157894737,-0.165365931681659,2.2706290895764,0.526315789473684
12,0,0,0,0.526315789473684
13,0.842105263157895,-0.138629817839533,1.82284034415532,0.421052631578947
14,0.421052631578947,-0.463546122206752,1.30565138536465,0.631578947368421
15,0.842105263157895,-0.138629817839533,1.82284034415532,0.631578947368421
16,0.421052631578947,-0.463546122206752,1.30565138536465,0.631578947368421
17,3.33333333333333,1.36127175410929,5.30539491255738,1.87719298245614
18,5.08771929824561,3.00748369684367,7.16795489964755,4.21052631578947
19,5.85964912280702,3.97206363487489,7.74723461073915,5.47368421052632
20,6.28070175438596,4.63070177005346,7.93070173871847,6.07017543859649
21,5.2280701754386,3.46399930138456,6.99214104949263,5.75438596491228
22,5.01754385964912,3.22091529753709,6.81417242176116,5.12280701754386
23,3.96491228070175,2.24292955878324,5.68689500262027,4.49122807017544
